Month_Code	Month	Site_Code	Site	Density	sH2O	pH	Nperc	Cperc	C:N_ratio	TN	TC	SOM	NH4_mgkg	NO3_mgkg	DIN_mgkg	PO4_mgkg	NH4	NO3	DIN	PO4
10	October	DAC	De Anza Cove	2.145990515	0.229916898	8.28	0.0242	0.2058	8.504132231	51.93297047	0.441644848	1.207930826	6.090311967	0.132000571	6.222312539	131.6818796	0.130697517	0.00283272	0.133530237	2.825880647
10	October	FSB	Fiesta Sunset Beach	2.208907323	0.212425765	8.34	0.0147	0.1077	7.326530612	32.47093765	0.237899319	0.453344756	2.382073441	0.111153914	2.493227355	58.39852113	0.052617795	0.002455287	0.055073082	1.28996921
10	October	FSP	Fanuel St Park	2.295895974	0.214150943	8.49	0.0154	0.0605	3.928571429	35.35679799	0.138901706	0.432168685	1.556608731	0.096975255	1.653583986	36.9157232	0.035738117	0.002226451	0.037964568	0.847546603
10	October	LLN	Leisure Lagoon	2.120179935	0.25	8.18	0.0275	0.2726	9.912727273	58.30494822	0.57796105	0.75583539	10.35603286	0.069763473	10.42579633	74.96215855	0.219566531	0.001479111	0.221045642	1.589332645
10	October	MPT	Mission Point	2.758213653	0.230339693	8.18	0.0147	0.1112	7.56462585	40.5457407	0.306713358	0.20414673	1.26813998	0.079992461	1.348132442	92.49027136	0.03497801	0.002206363	0.037184373	2.551079292
10	October	PPT	Paradise Point	2.185177679	0.253068933	8.36	0.0264	0.2048	7.757575758	57.68869071	0.447524389	0.955943475	10.07098768	0.100737212	10.17172489	114.5297541	0.220068975	0.002201287	0.222270262	2.502678621
10	October	SSH	South Shores	2.286856567	0.198822464	8.25	0.0156	0.1008	6.461538462	35.67496244	0.230515142	0.604495841	6.945552394	0.069363884	7.014916278	75.67118023	0.158834821	0.001586253	0.160421074	1.730491354
10	October	TCR	Tecolote Creek	2.084976772	0.247711089	8.19	0.0192	0.1461	7.609375	40.03155401	0.304615106	1.086315924	8.459825271	0.108824424	8.568649695	197.184751	0.176385392	0.002268964	0.178654356	4.111256256
11	November	DAC	De Anza Cove	2.145990515	0.190269331	8.23	0.0156	0.0902	5.782051282	33.47745204	0.193568344	0.421816272	1.959793292	0.048579152	2.008372445	103.3270008	0.042056978	0.001042504	0.043099482	2.217387637
11	November	FSB	Fiesta Sunset Beach	2.208907323	0.209386282	8.16	0.0146	0.1004	6.876712329	32.25004692	0.221774295	0.299095419	2.455110758	0.067933977	2.523044735	78.83575294	0.054231121	0.001500599	0.05573172	1.74140872
11	November	FSP	Fanuel St Park	2.295895974	0.159295835	8.52	0.0151	0.0223	1.476821192	34.6680292	0.05119848	0.367732558	1.40206843	0.039414273	1.441482704	33.13727827	0.032190033	0.000904911	0.033094943	0.760797438
11	November	LLN	Leisure Lagoon	2.120179935	0.218152866	8.01	0.0203	0.1028	5.064039409	43.03965268	0.217954497	0.431716794	10.98016415	0.276132806	11.25629696	67.29960408	0.232799237	0.005854512	0.23865375	1.426872702
11	November	MPT	Mission Point	2.758213653	0.254049051	8.23	0.0148	0.1072	7.243243243	40.82156206	0.295680504	0.369698661	0.662426595	0.017588414	0.680015009	148.5815564	0.018271141	0.000485126	0.018756267	4.098196773
