reference	25_10_DAC	25_10_FSB	25_10_FSP	25_10_LLN	25_10_MPT	25_10_PPT	25_10_SSH	25_10_TCR	25_11_DAC	25_11_FSB	25_11_FSP	25_11_LLN	25_11_MPT	25_11_PPT	25_11_SSH	25_11_TCR	25_12_DAC	25_12_FSB	25_12_FSP	25_12_LLN	25_12_MPT	25_12_PPT	25_12_SSH	25_12_TCR	26_01_DAC	26_01_FSB	26_01_FSP	26_01_LLN	26_01_MPT	26_01_PPT	26_01_SSH	26_01_TCR
A0A1X1PGE0	3.4734228298848383e-06	7.245541999146475e-07	3.187001867830362e-06	1.91042426582694e-06	2.4069338951651918e-06	5.748010110749785e-07	2.2594513347741987e-06	4.097680507948476e-06	1.787926525517019e-06	7.073965487162676e-06	3.687518814873343e-07	2.5278669114183524e-06	1.2038368084841601e-06	6.034356609355364e-07	4.290724932994967e-06	4.172405783371656e-06	9.549876138106487e-07	6.926703785140575e-07	2.8499630673286104e-06	1.353164690499748e-06	2.00640146749948e-06	1.3482274718604703e-07	2.1968041520853793e-06	3.318725410318913e-06	5.2433435753311175e-06	2.171462477264109e-06	7.053482835468398e-06	5.55520332346077e-06	5.266172901002222e-06	1.1038752091153598e-06	2.9611082751449116e-06	3.3792495362629867e-06
AAD55885.1	2.0967613424304818e-06	4.5863724930658634e-07	1.3599706246345078e-06	2.0860147314360333e-06	2.595713024197756e-07	3.2543880774098043e-06	2.1929968837514277e-06	6.3339963407177415e-06	1.1106178887917483e-06	3.2646717884094185e-06	2.183228051276482e-07	1.4896358585143861e-06	1.8013293421068131e-06	2.049906436413366e-06	5.24730419746855e-06	4.422685542049135e-06	1.1972455011376148e-06	1.2045334155777542e-06	2.268235311820947e-06	3.0308439900333726e-06	6.985202039983804e-07	2.4208613869729913e-06	3.2287482873927125e-06	1.2542829859587657e-05	2.4233940894387516e-06	7.376585768353077e-06	2.7307188174987537e-06	4.219681296848718e-06	1.7288171418082555e-06	4.642769261867543e-06	4.105738364696726e-06	4.919789766029937e-06
AAG04199.1	4.655470105081699e-05	8.834180149733732e-06	3.6888473595236436e-05	2.815672244792414e-05	3.7735317344265446e-05	3.907660092458223e-05	3.670681479240588e-05	5.266213146838885e-05	2.5575790169734868e-05	4.4348459469822564e-05	4.3974848836940225e-06	2.5637080655118833e-05	4.6035132890960804e-05	3.8316869543095544e-05	2.7711085318329725e-05	5.069656812459033e-05	4.068944006912111e-05	1.9743335413332553e-05	6.635888254451149e-05	5.5062500471292984e-05	4.574494258308551e-05	4.2486524515603015e-05	2.106830812196168e-05	3.8670984931398485e-05	7.001840776867673e-05	3.5752244327916046e-05	6.785282458568806e-05	4.48127336579976e-05	9.860612942062164e-05	7.113599255307782e-05	4.643184802993937e-05	6.682078275816163e-05
AAX84119.1	2.583065213652223e-05	1.68889332711215e-05	1.003473470604103e-05	2.652336602070412e-05	2.2706188687399787e-05	1.7188224408844018e-05	2.100734878933407e-05	3.517138932928088e-05	2.1767571485420798e-05	3.788470094566991e-05	1.1814380669011684e-06	1.8511979600955477e-05	3.2462686753055873e-05	2.062226724750571e-05	1.9199952637061944e-05	3.271618127022896e-05	4.330281619418917e-05	1.722989545907338e-05	3.2201815706378994e-05	4.4743365699683604e-05	3.4517050151093844e-05	2.915705527737085e-05	1.1931602024363864e-05	2.4272878405568753e-05	5.959667212182872e-05	4.406171434448532e-05	1.2357252573101613e-05	4.8364739783190544e-05	5.367676804719428e-05	3.634928884384721e-05	3.105878131870097e-05	6.121261949369585e-05
AAX84166.1	4.3881177050401265e-05	2.4554296168599488e-05	1.0560019390046759e-05	5.338993104845821e-05	2.2165943818004273e-05	6.704233602491686e-05	5.9887641117759424e-05	5.641573279891424e-05	3.729009077303385e-05	3.589600611610596e-05	1.1152391589761956e-06	4.417064100188829e-05	2.826642343818957e-05	5.967852679205857e-05	3.0027110308351316e-05	3.993311799630646e-05	7.08042440819473e-05	5.151032823514776e-05	5.293789866454615e-05	9.555714315367401e-05	2.99062710414662e-05	8.666037068836785e-05	4.296328544568967e-05	6.248597843326678e-05	0.00012015199140885542	9.289803654908028e-05	1.0649455366827923e-05	9.782829054539967e-05	4.95118719418303e-05	0.00015776963545593078	9.700402266289274e-05	8.140233980178749e-05
AAX84174.1	2.2386474483092365e-05	1.305334486998896e-05	8.555203678778484e-06	2.207132545834366e-05	2.1234103536294427e-05	1.7470925468200007e-05	1.5664263455367342e-05	3.238434219314334e-05	2.124943954048686e-05	3.282385688509307e-05	9.606956912433184e-07	1.38323329719193e-05	2.713158521376895e-05	1.784218598969171e-05	1.352062270239241e-05	2.8060956188524453e-05	3.648070635651675e-05	1.618400903182281e-05	3.40131306524113e-05	3.583460281449232e-05	2.8165213146865662e-05	2.8936205401697084e-05	1.1641174311829449e-05	2.5264732916901496e-05	5.776970647041775e-05	4.141901407525855e-05	9.733770559886482e-06	5.243755997545922e-05	4.6020784523519536e-05	3.195428236912884e-05	2.702687171648108e-05	5.175880615620853e-05
AB970510.1	1.4437553769046871e-05	4.230398569638124e-06	1.2011419385458062e-05	1.3589548524136202e-05	9.622611329667412e-06	1.3960951564613072e-05	1.3446112279935764e-05	1.964925872120467e-05	1.1369646635258591e-05	1.4199565758903184e-05	4.13473140691072e-06	9.840295269748319e-06	1.0451192730590131e-05	1.1870504424972778e-05	1.131717850027541e-05	1.4612637042897371e-05	1.3897858065948769e-05	9.280898274159612e-06	2.2104896024404244e-05	1.9995458586315058e-05	1.1872216871319521e-05	1.3964487464014651e-05	1.1868240158450832e-05	1.943997913708706e-05	2.2252772003751456e-05	1.5201227971540946e-05	1.6035638825488725e-05	2.0362614530616284e-05	2.378426629558485e-05	2.4817048496900062e-05	1.8213594825871792e-05	2.050602996247177e-05
ABE42492.1	9.400327415845538e-06	1.7250635403321969e-06	6.334652108923473e-06	7.054596156287799e-06	4.817371333118106e-06	6.902632229066335e-06	7.469596372603118e-06	1.0825749813575669e-05	5.97745217439227e-06	6.745979160311184e-06	7.49258735615968e-07	5.919513673572451e-06	5.782622224159722e-06	3.7681790180690706e-06	5.4411638451604294e-06	8.54427385195161e-06	6.594210324620474e-06	4.325408913865075e-06	1.3881435830997084e-05	1.0724864250030754e-05	5.154093764053156e-06	7.1885840311861764e-06	4.6128775894693615e-06	5.144748998529319e-06	1.8889774889293327e-05	1.1734431509232903e-05	1.2562750940950044e-05	1.58366010825448e-05	1.4619615624860394e-05	1.4051511941359276e-05	7.924612913519446e-06	1.891675966470362e-05
ABG92213.1	0.00010673202420941095	1.849800243885941e-05	8.044590425495891e-05	7.795458728587895e-05	7.304255528583338e-05	0.00010105883963300252	0.00010144582706850132	0.00014670526017865625	5.305897063135039e-05	9.854306344632986e-05	1.1094921717671436e-05	7.187403710625767e-05	8.518516696965555e-05	8.014696422281699e-05	7.062718450857903e-05	9.962191506435376e-05	9.512947660234314e-05	3.9969738568332153e-05	0.00016955845017405859	0.00017236562403750942	9.868520449075878e-05	9.01566500067847e-05	5.344578405772364e-05	7.079151684601135e-05	0.00013633771064324487	8.806920658688069e-05	0.0001023556089744796	0.0001390538460931962	0.0001593446307328222	0.00016262967259472936	0.00010109765354605752	0.00011550600310308986
ABG94339.1	0.00012669211623531174	2.4924510807032076e-05	3.553614298841715e-05	8.985692183245461e-05	3.925699398730302e-05	0.0001419548204302365	0.0001358053436059726	0.00015214165799227127	5.3619480420615036e-05	6.61192491499183e-05	5.033733000751983e-06	8.040400377786188e-05	4.093779195680587e-05	0.00014101261140057013	8.958405749127686e-05	8.925948957623703e-05	8.733769344962816e-05	6.385871821916642e-05	0.00014589030452949486	0.00014560864476345696	5.26425063716917e-05	0.0001379779283061693	7.56519645893235e-05	8.616544388498739e-05	0.00014861316485550863	0.00017499471848025062	6.662728778140381e-05	0.00014570479469863944	6.856602450013655e-05	0.0001845087026357942	0.00014776652514503634	0.0001100506818957841
