sample	coverage	taxonomy
10_25_MPT_R1_paired	10.4	Root; d__Archaea
10_25_MPT_R1_paired	20.21	Root; d__Bacteria
10_25_MPT_R1_paired	3.84	Root; d__Archaea; p__Thermoproteota
10_25_MPT_R1_paired	0.99	Root; d__Archaea; p__Halobacteriota
10_25_MPT_R1_paired	1.4	Root; d__Archaea; p__Thermoplasmatota
10_25_MPT_R1_paired	1.14	Root; d__Archaea; p__Asgardarchaeota
10_25_MPT_R1_paired	2.68	Root; d__Bacteria; p__Chloroflexota
10_25_MPT_R1_paired	4.75	Root; d__Bacteria; p__Pseudomonadota
10_25_MPT_R1_paired	3.36	Root; d__Bacteria; p__Planctomycetota
10_25_MPT_R1_paired	5.31	Root; d__Bacteria; p__Bacillota
10_25_MPT_R1_paired	3.24	Root; d__Bacteria; p__Actinomycetota
10_25_MPT_R1_paired	1.23	Root; d__Bacteria; p__Bacteroidota_A
10_25_MPT_R1_paired	6.2	Root; d__Bacteria; p__Acidobacteriota
10_25_MPT_R1_paired	1.77	Root; d__Bacteria; p__Myxococcota
10_25_MPT_R1_paired	3.33	Root; d__Bacteria; p__Patescibacteriota
10_25_MPT_R1_paired	0.4	Root; d__Bacteria; p__Margulisbacteria
10_25_MPT_R1_paired	0.23	Root; d__Bacteria; p__Gemmatimonadota
10_25_MPT_R1_paired	0.15	Root; d__Bacteria; p__Zhuqueibacterota
10_25_MPT_R1_paired	0.14	Root; d__Bacteria; p__Campylobacterota
10_25_MPT_R1_paired	2.0	Root; d__Bacteria; p__Bdellovibrionota
10_25_MPT_R1_paired	0.44	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_MPT_R1_paired	5.21	Root; d__Bacteria; p__Desulfobacterota
10_25_MPT_R1_paired	1.48	Root; d__Bacteria; p__Spirochaetota
10_25_MPT_R1_paired	0.06	Root; d__Bacteria; p__Latescibacterota
10_25_MPT_R1_paired	0.47	Root; d__Bacteria; p__Nitrospirota
10_25_MPT_R1_paired	1.03	Root; d__Bacteria; p__Armatimonadota
10_25_MPT_R1_paired	0.23	Root; d__Bacteria; p__Fibrobacterota
10_25_MPT_R1_paired	0.45	Root; d__Bacteria; p__Cyanobacteriota
10_25_MPT_R1_paired	0.43	Root; d__Bacteria; p__Marinisomatota
10_25_MPT_R1_paired	0.25	Root; d__Bacteria; p__Elusimicrobiota
10_25_MPT_R1_paired	0.38	Root; d__Bacteria; p__Nitrospinota
10_25_MPT_R1_paired	0.23	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_MPT_R1_paired	0.53	Root; d__Bacteria; p__WOR-3
10_25_MPT_R1_paired	0.41	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_MPT_R1_paired	0.06	Root; d__Bacteria; p__Poribacteria
10_25_MPT_R1_paired	0.24	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_MPT_R1_paired	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
10_25_MPT_R1_paired	1.19	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_MPT_R1_paired	0.82	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_MPT_R1_paired	0.55	Root; d__Archaea; p__Thermoplasmatota; c__E2
10_25_MPT_R1_paired	0.35	Root; d__Archaea; p__Thermoplasmatota; c__Poseidoniia
10_25_MPT_R1_paired	0.85	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_MPT_R1_paired	0.6	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_MPT_R1_paired	2.19	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_MPT_R1_paired	0.4	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
10_25_MPT_R1_paired	3.17	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
10_25_MPT_R1_paired	4.33	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
10_25_MPT_R1_paired	0.75	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
10_25_MPT_R1_paired	0.37	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
10_25_MPT_R1_paired	0.4	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
10_25_MPT_R1_paired	55.14	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_MPT_R1_paired	18.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_MPT_R1_paired	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Zetaproteobacteria
10_25_MPT_R1_paired	2.09	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
10_25_MPT_R1_paired	1.14	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
10_25_MPT_R1_paired	0.57	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
10_25_MPT_R1_paired	0.39	Root; d__Bacteria; p__Planctomycetota; c__J058
10_25_MPT_R1_paired	0.63	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
10_25_MPT_R1_paired	0.24	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
10_25_MPT_R1_paired	0.55	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
10_25_MPT_R1_paired	0.29	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
10_25_MPT_R1_paired	0.38	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
10_25_MPT_R1_paired	4.18	Root; d__Bacteria; p__Bacillota; c__Clostridia
10_25_MPT_R1_paired	0.4	Root; d__Bacteria; p__Bacillota; c__Negativicutes
10_25_MPT_R1_paired	4.6	Root; d__Bacteria; p__Bacillota; c__Bacilli
10_25_MPT_R1_paired	3.56	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
10_25_MPT_R1_paired	1.94	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_MPT_R1_paired	4.65	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_MPT_R1_paired	0.37	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_MPT_R1_paired	0.38	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_MPT_R1_paired	0.58	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
10_25_MPT_R1_paired	0.17	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
10_25_MPT_R1_paired	1.98	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_MPT_R1_paired	1.26	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_MPT_R1_paired	0.71	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_MPT_R1_paired	0.44	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_MPT_R1_paired	0.63	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
10_25_MPT_R1_paired	0.76	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_MPT_R1_paired	1.92	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_MPT_R1_paired	2.87	Root; d__Bacteria; p__Myxococcota; c__Polyangia
10_25_MPT_R1_paired	0.48	Root; d__Bacteria; p__Myxococcota; c__UBA796
10_25_MPT_R1_paired	0.11	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
10_25_MPT_R1_paired	0.52	Root; d__Bacteria; p__Myxococcota; c__UBA9042
