sample	coverage	taxonomy
10_25_PPT_R1_paired	12.82	Root; d__Archaea
10_25_PPT_R1_paired	26.33	Root; d__Bacteria
10_25_PPT_R1_paired	3.58	Root; d__Archaea; p__Thermoproteota
10_25_PPT_R1_paired	3.76	Root; d__Archaea; p__Thermoplasmatota
10_25_PPT_R1_paired	0.73	Root; d__Archaea; p__Asgardarchaeota
10_25_PPT_R1_paired	0.32	Root; d__Archaea; p__Halobacteriota
10_25_PPT_R1_paired	0.35	Root; d__Archaea; p__Methanobacteriota
10_25_PPT_R1_paired	2.35	Root; d__Bacteria; p__Actinomycetota
10_25_PPT_R1_paired	5.12	Root; d__Bacteria; p__Planctomycetota
10_25_PPT_R1_paired	5.42	Root; d__Bacteria; p__Acidobacteriota
10_25_PPT_R1_paired	4.02	Root; d__Bacteria; p__Myxococcota
10_25_PPT_R1_paired	2.33	Root; d__Bacteria; p__Chloroflexota
10_25_PPT_R1_paired	6.54	Root; d__Bacteria; p__Desulfobacterota
10_25_PPT_R1_paired	2.07	Root; d__Bacteria; p__Bacteroidota_A
10_25_PPT_R1_paired	1.01	Root; d__Bacteria; p__Zhuqueibacterota
10_25_PPT_R1_paired	4.36	Root; d__Bacteria; p__Bacillota
10_25_PPT_R1_paired	1.04	Root; d__Bacteria; p__Armatimonadota
10_25_PPT_R1_paired	0.74	Root; d__Bacteria; p__Nitrospirota
10_25_PPT_R1_paired	3.34	Root; d__Bacteria; p__Patescibacteriota
10_25_PPT_R1_paired	1.75	Root; d__Bacteria; p__Spirochaetota
10_25_PPT_R1_paired	1.04	Root; d__Bacteria; p__Verrucomicrobiota
10_25_PPT_R1_paired	0.29	Root; d__Bacteria; p__Omnitrophota
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
10_25_PPT_R1_paired	0.63	Root; d__Bacteria; p__Bdellovibrionota_B
10_25_PPT_R1_paired	1.71	Root; d__Bacteria; p__Bdellovibrionota
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Elusimicrobiota
10_25_PPT_R1_paired	0.45	Root; d__Bacteria; p__Vulcanimicrobiota
10_25_PPT_R1_paired	0.35	Root; d__Bacteria; p__Cyanobacteriota
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Fermentibacterota
10_25_PPT_R1_paired	0.57	Root; d__Bacteria; p__Nitrospinota
10_25_PPT_R1_paired	0.44	Root; d__Bacteria; p__TA06_A
10_25_PPT_R1_paired	1.03	Root; d__Bacteria; p__Marinisomatota
10_25_PPT_R1_paired	0.57	Root; d__Bacteria; p__CSSED10-310
10_25_PPT_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_G
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Latescibacterota
10_25_PPT_R1_paired	0.18	Root; d__Bacteria; p__WOR-3
10_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Margulisbacteria
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Fibrobacterota
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__CG03
10_25_PPT_R1_paired	0.71	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
10_25_PPT_R1_paired	0.17	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
10_25_PPT_R1_paired	3.22	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
10_25_PPT_R1_paired	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2
10_25_PPT_R1_paired	0.16	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
10_25_PPT_R1_paired	1.1	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
10_25_PPT_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
10_25_PPT_R1_paired	0.58	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
10_25_PPT_R1_paired	0.05	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
10_25_PPT_R1_paired	1.11	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
10_25_PPT_R1_paired	0.31	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
10_25_PPT_R1_paired	1.49	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
10_25_PPT_R1_paired	0.32	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
10_25_PPT_R1_paired	0.94	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
10_25_PPT_R1_paired	1.88	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
10_25_PPT_R1_paired	0.33	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
10_25_PPT_R1_paired	4.93	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
10_25_PPT_R1_paired	0.59	Root; d__Bacteria; p__Actinomycetota; c__Geothermincolia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Actinomycetota; c__Humimicrobiia
10_25_PPT_R1_paired	0.58	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
10_25_PPT_R1_paired	0.91	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
10_25_PPT_R1_paired	0.36	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
10_25_PPT_R1_paired	1.05	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
10_25_PPT_R1_paired	0.5	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
10_25_PPT_R1_paired	0.63	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
10_25_PPT_R1_paired	0.91	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
10_25_PPT_R1_paired	0.24	Root; d__Bacteria; p__Planctomycetota; c__UBA8742
10_25_PPT_R1_paired	12.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
10_25_PPT_R1_paired	27.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
10_25_PPT_R1_paired	0.87	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
10_25_PPT_R1_paired	0.35	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
10_25_PPT_R1_paired	1.8	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
10_25_PPT_R1_paired	1.67	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
10_25_PPT_R1_paired	1.24	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
10_25_PPT_R1_paired	0.35	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
10_25_PPT_R1_paired	0.41	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
10_25_PPT_R1_paired	0.2	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
10_25_PPT_R1_paired	2.95	Root; d__Bacteria; p__Myxococcota; c__Polyangia
10_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9
10_25_PPT_R1_paired	0.58	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Myxococcota; c__UBA9042
10_25_PPT_R1_paired	0.57	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
10_25_PPT_R1_paired	8.99	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
10_25_PPT_R1_paired	3.79	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
10_25_PPT_R1_paired	0.51	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
10_25_PPT_R1_paired	0.69	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
10_25_PPT_R1_paired	0.88	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
10_25_PPT_R1_paired	0.34	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
10_25_PPT_R1_paired	0.74	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
10_25_PPT_R1_paired	0.39	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
10_25_PPT_R1_paired	0.44	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
10_25_PPT_R1_paired	0.7	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
10_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
10_25_PPT_R1_paired	1.06	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
10_25_PPT_R1_paired	6.15	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
10_25_PPT_R1_paired	7.08	Root; d__Bacteria; p__Bacillota; c__Bacilli
10_25_PPT_R1_paired	4.72	Root; d__Bacteria; p__Bacillota; c__Clostridia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Bacillota; c__Dehalobacteriia
10_25_PPT_R1_paired	1.85	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
10_25_PPT_R1_paired	0.34	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
10_25_PPT_R1_paired	0.49	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
10_25_PPT_R1_paired	0.34	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
10_25_PPT_R1_paired	7.95	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
10_25_PPT_R1_paired	0.54	Root; d__Bacteria; p__Patescibacteriota; c__UBA1384
10_25_PPT_R1_paired	3.06	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
10_25_PPT_R1_paired	0.61	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
10_25_PPT_R1_paired	3.52	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
10_25_PPT_R1_paired	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Dojkabacteria
10_25_PPT_R1_paired	1.79	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Patescibacteriota; c__4484-211
10_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Patescibacteriota; c__JAEDAM01
10_25_PPT_R1_paired	0.89	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
10_25_PPT_R1_paired	4.92	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
10_25_PPT_R1_paired	1.01	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
10_25_PPT_R1_paired	7.26	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
10_25_PPT_R1_paired	0.58	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
10_25_PPT_R1_paired	1.89	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
10_25_PPT_R1_paired	4.13	Root; d__Bacteria; p__Omnitrophota; c__Koll11
10_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria
10_25_PPT_R1_paired	0.38	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
10_25_PPT_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
10_25_PPT_R1_paired	0.47	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
10_25_PPT_R1_paired	0.34	Root; d__Bacteria; p__Elusimicrobiota; c__Endomicrobiia
10_25_PPT_R1_paired	1.5	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
10_25_PPT_R1_paired	0.81	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
10_25_PPT_R1_paired	0.06	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia
10_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Arandabacterota; c__Arandabacteria
10_25_PPT_R1_paired	1.13	Root; d__Bacteria; p__UBA10199; c__UBA10199
10_25_PPT_R1_paired	0.11	Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia
10_25_PPT_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_G; c__JALEGL01
10_25_PPT_R1_paired	0.62	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
10_25_PPT_R1_paired	0.5	Root; d__Bacteria; p__WOR-3; c__WOR-3
10_25_PPT_R1_paired	0.34	Root; d__Bacteria; p__Aquificota; c__Aquificia
10_25_PPT_R1_paired	1.37	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
10_25_PPT_R1_paired	0.4	Root; d__Bacteria; p__Margulisbacteria; c__WOR-1
10_25_PPT_R1_paired	0.06	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64
10_25_PPT_R1_paired	0.48	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6
10_25_PPT_R1_paired	0.3	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Bathyarchaeales
10_25_PPT_R1_paired	0.11	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__RBG-16-48-13
10_25_PPT_R1_paired	0.37	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
10_25_PPT_R1_paired	0.96	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
10_25_PPT_R1_paired	0.5	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria_A; o__Caldarchaeales
10_25_PPT_R1_paired	12.05	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
10_25_PPT_R1_paired	0.31	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
10_25_PPT_R1_paired	1.79	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
10_25_PPT_R1_paired	0.16	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6; o__EX4484-6
10_25_PPT_R1_paired	0.56	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Sigynarchaeales
10_25_PPT_R1_paired	0.37	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Hodarchaeales
10_25_PPT_R1_paired	0.26	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Heimdallarchaeales
10_25_PPT_R1_paired	0.22	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales
10_25_PPT_R1_paired	1.32	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
10_25_PPT_R1_paired	0.91	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
10_25_PPT_R1_paired	0.26	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
10_25_PPT_R1_paired	0.32	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia; o__IMC4
