sample	coverage	taxonomy
11_25_FSP_R1_paired	12.18	Root; d__Archaea
11_25_FSP_R1_paired	41.85	Root; d__Bacteria
11_25_FSP_R1_paired	4.13	Root; d__Archaea; p__Thermoproteota
11_25_FSP_R1_paired	0.52	Root; d__Archaea; p__Halobacteriota
11_25_FSP_R1_paired	1.02	Root; d__Archaea; p__Asgardarchaeota
11_25_FSP_R1_paired	2.45	Root; d__Archaea; p__Thermoplasmatota
11_25_FSP_R1_paired	3.77	Root; d__Bacteria; p__Patescibacteriota
11_25_FSP_R1_paired	9.16	Root; d__Bacteria; p__Actinomycetota
11_25_FSP_R1_paired	1.57	Root; d__Bacteria; p__Bacteroidota_A
11_25_FSP_R1_paired	0.64	Root; d__Bacteria; p__Verrucomicrobiota
11_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Cyanobacteriota
11_25_FSP_R1_paired	1.61	Root; d__Bacteria; p__Acidobacteriota
11_25_FSP_R1_paired	0.92	Root; d__Bacteria; p__Nitrospirota
11_25_FSP_R1_paired	2.65	Root; d__Bacteria; p__Planctomycetota
11_25_FSP_R1_paired	2.67	Root; d__Bacteria; p__Chloroflexota
11_25_FSP_R1_paired	4.41	Root; d__Bacteria; p__Bacillota
11_25_FSP_R1_paired	0.14	Root; d__Bacteria; p__Gemmatimonadota
11_25_FSP_R1_paired	0.18	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_FSP_R1_paired	4.72	Root; d__Bacteria; p__Desulfobacterota
11_25_FSP_R1_paired	3.61	Root; d__Bacteria; p__Myxococcota
11_25_FSP_R1_paired	1.38	Root; d__Bacteria; p__Armatimonadota
11_25_FSP_R1_paired	0.17	Root; d__Bacteria; p__Latescibacterota
11_25_FSP_R1_paired	0.58	Root; d__Bacteria; p__Omnitrophota
11_25_FSP_R1_paired	1.27	Root; d__Bacteria; p__Bdellovibrionota
11_25_FSP_R1_paired	0.32	Root; d__Bacteria; p__Nitrospinota
11_25_FSP_R1_paired	0.06	Root; d__Bacteria; p__Campylobacterota
11_25_FSP_R1_paired	0.12	Root; d__Bacteria; p__Zhuqueibacterota
11_25_FSP_R1_paired	0.67	Root; d__Bacteria; p__Spirochaetota
11_25_FSP_R1_paired	0.12	Root; d__Bacteria; p__Elusimicrobiota
11_25_FSP_R1_paired	0.52	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
11_25_FSP_R1_paired	0.82	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
11_25_FSP_R1_paired	0.37	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
11_25_FSP_R1_paired	2.79	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
11_25_FSP_R1_paired	1.09	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
11_25_FSP_R1_paired	0.16	Root; d__Archaea; p__Thermoplasmatota; c__E2
11_25_FSP_R1_paired	0.11	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26
11_25_FSP_R1_paired	1.27	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
11_25_FSP_R1_paired	3.31	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
11_25_FSP_R1_paired	0.24	Root; d__Archaea; p__Methanobacteriota_B; c__Thermococci
11_25_FSP_R1_paired	0.41	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
11_25_FSP_R1_paired	71.7	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
11_25_FSP_R1_paired	26.88	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
11_25_FSP_R1_paired	0.72	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
11_25_FSP_R1_paired	2.51	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
11_25_FSP_R1_paired	2.25	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
11_25_FSP_R1_paired	2.98	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
11_25_FSP_R1_paired	0.86	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
11_25_FSP_R1_paired	0.36	Root; d__Bacteria; p__Patescibacteriota; c__WWE3
11_25_FSP_R1_paired	1.56	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
11_25_FSP_R1_paired	11.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
11_25_FSP_R1_paired	2.84	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
11_25_FSP_R1_paired	0.19	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
11_25_FSP_R1_paired	0.34	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
11_25_FSP_R1_paired	0.08	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
11_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
11_25_FSP_R1_paired	2.67	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
11_25_FSP_R1_paired	3.74	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
11_25_FSP_R1_paired	0.65	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
11_25_FSP_R1_paired	1.18	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
11_25_FSP_R1_paired	0.85	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
11_25_FSP_R1_paired	2.49	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
11_25_FSP_R1_paired	0.66	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
11_25_FSP_R1_paired	1.96	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
11_25_FSP_R1_paired	0.94	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
11_25_FSP_R1_paired	0.18	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
11_25_FSP_R1_paired	2.26	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
11_25_FSP_R1_paired	0.36	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
11_25_FSP_R1_paired	0.13	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
11_25_FSP_R1_paired	0.54	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
11_25_FSP_R1_paired	2.42	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
11_25_FSP_R1_paired	0.08	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
11_25_FSP_R1_paired	0.24	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
11_25_FSP_R1_paired	2.3	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
11_25_FSP_R1_paired	0.21	Root; d__Bacteria; p__Planctomycetota; c__J058
11_25_FSP_R1_paired	0.2	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
11_25_FSP_R1_paired	0.58	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
11_25_FSP_R1_paired	4.3	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
11_25_FSP_R1_paired	2.35	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
11_25_FSP_R1_paired	0.88	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
11_25_FSP_R1_paired	0.45	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
11_25_FSP_R1_paired	4.77	Root; d__Bacteria; p__Bacillota; c__Bacilli
11_25_FSP_R1_paired	0.37	Root; d__Bacteria; p__Bacillota; c__Negativicutes
11_25_FSP_R1_paired	2.72	Root; d__Bacteria; p__Bacillota; c__Clostridia
11_25_FSP_R1_paired	0.4	Root; d__Bacteria; p__Bacillota; c__Limnochordia
11_25_FSP_R1_paired	3.14	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
11_25_FSP_R1_paired	0.73	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
11_25_FSP_R1_paired	2.75	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
11_25_FSP_R1_paired	0.11	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
11_25_FSP_R1_paired	0.35	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
11_25_FSP_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
11_25_FSP_R1_paired	0.3	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
11_25_FSP_R1_paired	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
11_25_FSP_R1_paired	0.94	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
11_25_FSP_R1_paired	1.77	Root; d__Bacteria; p__Myxococcota; c__Polyangia
11_25_FSP_R1_paired	0.24	Root; d__Bacteria; p__Myxococcota; c__UBA796
11_25_FSP_R1_paired	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
11_25_FSP_R1_paired	2.17	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
11_25_FSP_R1_paired	0.22	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
11_25_FSP_R1_paired	1.41	Root; d__Bacteria; p__Omnitrophota; c__Koll11
11_25_FSP_R1_paired	0.24	Root; d__Bacteria; p__Omnitrophota; c__Omnitrophia
11_25_FSP_R1_paired	1.16	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
11_25_FSP_R1_paired	0.24	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
11_25_FSP_R1_paired	0.55	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
11_25_FSP_R1_paired	0.8	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
11_25_FSP_R1_paired	0.52	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
11_25_FSP_R1_paired	0.87	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
11_25_FSP_R1_paired	0.12	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
11_25_FSP_R1_paired	1.21	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
11_25_FSP_R1_paired	0.26	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
11_25_FSP_R1_paired	1.06	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
11_25_FSP_R1_paired	0.48	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
11_25_FSP_R1_paired	1.47	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
11_25_FSP_R1_paired	0.69	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
11_25_FSP_R1_paired	4.66	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
11_25_FSP_R1_paired	0.36	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
11_25_FSP_R1_paired	1.65	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
11_25_FSP_R1_paired	0.05	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14
11_25_FSP_R1_paired	0.57	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01
11_25_FSP_R1_paired	0.32	Root; d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__JACQPN01
11_25_FSP_R1_paired	0.53	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales
11_25_FSP_R1_paired	5.96	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
11_25_FSP_R1_paired	1.97	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales
11_25_FSP_R1_paired	10.89	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
11_25_FSP_R1_paired	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Competibacterales
11_25_FSP_R1_paired	1.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Methylococcales
11_25_FSP_R1_paired	3.43	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
11_25_FSP_R1_paired	0.29	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Eutrophobiales
11_25_FSP_R1_paired	1.58	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nevskiales
11_25_FSP_R1_paired	5.24	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
