sample	coverage	taxonomy
11_25_SSH_R1_paired	10.52	Root; d__Archaea
11_25_SSH_R1_paired	22.83	Root; d__Bacteria
11_25_SSH_R1_paired	2.57	Root; d__Archaea; p__Thermoproteota
11_25_SSH_R1_paired	1.54	Root; d__Archaea; p__Asgardarchaeota
11_25_SSH_R1_paired	0.91	Root; d__Archaea; p__Halobacteriota
11_25_SSH_R1_paired	2.6	Root; d__Archaea; p__Thermoplasmatota
11_25_SSH_R1_paired	0.44	Root; d__Archaea; p__Methanobacteriota
11_25_SSH_R1_paired	2.92	Root; d__Bacteria; p__Acidobacteriota
11_25_SSH_R1_paired	1.45	Root; d__Bacteria; p__Pseudomonadota
11_25_SSH_R1_paired	6.7	Root; d__Bacteria; p__Actinomycetota
11_25_SSH_R1_paired	5.79	Root; d__Bacteria; p__Planctomycetota
11_25_SSH_R1_paired	5.02	Root; d__Bacteria; p__Desulfobacterota
11_25_SSH_R1_paired	3.66	Root; d__Bacteria; p__Bacillota
11_25_SSH_R1_paired	0.15	Root; d__Bacteria; p__Gemmatimonadota
11_25_SSH_R1_paired	4.29	Root; d__Bacteria; p__Myxococcota
11_25_SSH_R1_paired	4.88	Root; d__Bacteria; p__Patescibacteriota
11_25_SSH_R1_paired	1.78	Root; d__Bacteria; p__Bdellovibrionota
11_25_SSH_R1_paired	0.49	Root; d__Bacteria; p__Verrucomicrobiota
11_25_SSH_R1_paired	2.79	Root; d__Bacteria; p__Chloroflexota
11_25_SSH_R1_paired	0.81	Root; d__Bacteria; p__Bacteroidota_A
11_25_SSH_R1_paired	1.38	Root; d__Bacteria; p__Spirochaetota
11_25_SSH_R1_paired	0.63	Root; d__Bacteria; p__Zhuqueibacterota
11_25_SSH_R1_paired	0.07	Root; d__Bacteria; p__Omnitrophota
11_25_SSH_R1_paired	0.53	Root; d__Bacteria; p__Cyanobacteriota
11_25_SSH_R1_paired	1.37	Root; d__Bacteria; p__Nitrospirota
11_25_SSH_R1_paired	1.43	Root; d__Bacteria; p__Armatimonadota
11_25_SSH_R1_paired	0.41	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_SSH_R1_paired	0.43	Root; d__Bacteria; p__Electryoneota
