sample	coverage	taxonomy
11_25_TCR_R1_paired	14.37	Root; d__Archaea
11_25_TCR_R1_paired	23.39	Root; d__Bacteria
11_25_TCR_R1_paired	3.12	Root; d__Archaea; p__Thermoproteota
11_25_TCR_R1_paired	2.74	Root; d__Archaea; p__Thermoplasmatota
11_25_TCR_R1_paired	0.93	Root; d__Archaea; p__Halobacteriota
11_25_TCR_R1_paired	0.65	Root; d__Archaea; p__Asgardarchaeota
11_25_TCR_R1_paired	0.27	Root; d__Archaea; p__Methanobacteriota
11_25_TCR_R1_paired	3.93	Root; d__Bacteria; p__Chloroflexota
11_25_TCR_R1_paired	5.96	Root; d__Bacteria; p__Planctomycetota
11_25_TCR_R1_paired	5.23	Root; d__Bacteria; p__Acidobacteriota
11_25_TCR_R1_paired	0.42	Root; d__Bacteria; p__Gemmatimonadota
11_25_TCR_R1_paired	2.74	Root; d__Bacteria; p__Actinomycetota
11_25_TCR_R1_paired	0.91	Root; d__Bacteria; p__Bacteroidota_A
11_25_TCR_R1_paired	3.35	Root; d__Bacteria; p__Myxococcota
11_25_TCR_R1_paired	1.27	Root; d__Bacteria; p__Verrucomicrobiota
11_25_TCR_R1_paired	5.49	Root; d__Bacteria; p__Desulfobacterota
11_25_TCR_R1_paired	3.56	Root; d__Bacteria; p__Patescibacteriota
11_25_TCR_R1_paired	1.31	Root; d__Bacteria; p__Spirochaetota
11_25_TCR_R1_paired	5.34	Root; d__Bacteria; p__Bacillota
11_25_TCR_R1_paired	0.24	Root; d__Bacteria; p__Bdellovibrionota_B
11_25_TCR_R1_paired	0.6	Root; d__Bacteria; p__Omnitrophota
11_25_TCR_R1_paired	1.45	Root; d__Bacteria; p__Bdellovibrionota
11_25_TCR_R1_paired	0.06	Root; d__Bacteria; p__Elusimicrobiota
11_25_TCR_R1_paired	1.05	Root; d__Bacteria; p__Armatimonadota
11_25_TCR_R1_paired	0.45	Root; d__Bacteria; p__Cyanobacteriota
11_25_TCR_R1_paired	0.79	Root; d__Bacteria; p__Nitrospinota
11_25_TCR_R1_paired	0.45	Root; d__Bacteria; p__Marinisomatota
11_25_TCR_R1_paired	0.51	Root; d__Bacteria; p__Nitrospirota
11_25_TCR_R1_paired	0.58	Root; d__Bacteria; p__Vulcanimicrobiota
11_25_TCR_R1_paired	1.03	Root; d__Bacteria; p__Zhuqueibacterota
11_25_TCR_R1_paired	0.17	Root; d__Bacteria; p__Latescibacterota
11_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Fibrobacterota
11_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Muiribacteriota
11_25_TCR_R1_paired	0.36	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
11_25_TCR_R1_paired	0.39	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
11_25_TCR_R1_paired	0.75	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
11_25_TCR_R1_paired	2.38	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
11_25_TCR_R1_paired	0.31	Root; d__Archaea; p__Thermoplasmatota; c__E2
11_25_TCR_R1_paired	1.49	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
11_25_TCR_R1_paired	0.05	Root; d__Archaea; p__Halobacteriota; c__Halobacteria
11_25_TCR_R1_paired	0.37	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
11_25_TCR_R1_paired	2.07	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
11_25_TCR_R1_paired	1.05	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
11_25_TCR_R1_paired	0.49	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
11_25_TCR_R1_paired	52.93	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
11_25_TCR_R1_paired	22.75	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
11_25_TCR_R1_paired	6.48	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
11_25_TCR_R1_paired	4.57	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
11_25_TCR_R1_paired	0.81	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
11_25_TCR_R1_paired	1.03	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
11_25_TCR_R1_paired	2.32	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
11_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Planctomycetota; c__J058
11_25_TCR_R1_paired	0.76	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
11_25_TCR_R1_paired	0.95	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
11_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
11_25_TCR_R1_paired	0.73	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
11_25_TCR_R1_paired	0.6	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
11_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
11_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
11_25_TCR_R1_paired	1.73	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
11_25_TCR_R1_paired	1.19	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
11_25_TCR_R1_paired	1.62	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
11_25_TCR_R1_paired	0.47	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911
11_25_TCR_R1_paired	2.45	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
11_25_TCR_R1_paired	0.81	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
11_25_TCR_R1_paired	1.84	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia
11_25_TCR_R1_paired	0.36	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
11_25_TCR_R1_paired	0.11	Root; d__Bacteria; p__Acidobacteriota; c__B3-B38
11_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia
11_25_TCR_R1_paired	0.6	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae
11_25_TCR_R1_paired	1.06	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
11_25_TCR_R1_paired	0.49	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
11_25_TCR_R1_paired	2.44	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
11_25_TCR_R1_paired	5.13	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
11_25_TCR_R1_paired	1.45	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
11_25_TCR_R1_paired	0.26	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
11_25_TCR_R1_paired	0.84	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
11_25_TCR_R1_paired	0.4	Root; d__Bacteria; p__Actinomycetota; c__CADDZG01
11_25_TCR_R1_paired	0.54	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
11_25_TCR_R1_paired	0.06	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
11_25_TCR_R1_paired	0.18	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
11_25_TCR_R1_paired	2.88	Root; d__Bacteria; p__Myxococcota; c__Polyangia
11_25_TCR_R1_paired	0.17	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
11_25_TCR_R1_paired	1.08	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
11_25_TCR_R1_paired	0.25	Root; d__Bacteria; p__Myxococcota; c__UBA9042
11_25_TCR_R1_paired	0.23	Root; d__Bacteria; p__Myxococcota; c__UBA796
11_25_TCR_R1_paired	6.99	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
11_25_TCR_R1_paired	2.83	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
11_25_TCR_R1_paired	0.46	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
11_25_TCR_R1_paired	0.82	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
11_25_TCR_R1_paired	0.57	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
11_25_TCR_R1_paired	0.28	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
11_25_TCR_R1_paired	0.64	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
11_25_TCR_R1_paired	0.35	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
11_25_TCR_R1_paired	1.77	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
11_25_TCR_R1_paired	4.07	Root; d__Bacteria; p__Patescibacteriota; c__Patescibacteriia
11_25_TCR_R1_paired	2.79	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
11_25_TCR_R1_paired	2.02	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
11_25_TCR_R1_paired	0.5	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
