sample	coverage	taxonomy
12_25_DAC_R1_paired	16.84	Root; d__Archaea
12_25_DAC_R1_paired	23.84	Root; d__Bacteria
12_25_DAC_R1_paired	3.44	Root; d__Archaea; p__Thermoproteota
12_25_DAC_R1_paired	2.15	Root; d__Archaea; p__Asgardarchaeota
12_25_DAC_R1_paired	2.97	Root; d__Archaea; p__Thermoplasmatota
12_25_DAC_R1_paired	1.44	Root; d__Archaea; p__Halobacteriota
12_25_DAC_R1_paired	0.69	Root; d__Archaea; p__Methanobacteriota
12_25_DAC_R1_paired	9.05	Root; d__Bacteria; p__Actinomycetota
12_25_DAC_R1_paired	8.45	Root; d__Bacteria; p__Pseudomonadota
12_25_DAC_R1_paired	5.96	Root; d__Bacteria; p__Planctomycetota
12_25_DAC_R1_paired	0.99	Root; d__Bacteria; p__Chloroflexota
12_25_DAC_R1_paired	7.37	Root; d__Bacteria; p__Desulfobacterota
12_25_DAC_R1_paired	7.72	Root; d__Bacteria; p__Bacillota
12_25_DAC_R1_paired	0.76	Root; d__Bacteria; p__Verrucomicrobiota
12_25_DAC_R1_paired	4.52	Root; d__Bacteria; p__Myxococcota
12_25_DAC_R1_paired	2.81	Root; d__Bacteria; p__Acidobacteriota
12_25_DAC_R1_paired	2.06	Root; d__Bacteria; p__Armatimonadota
12_25_DAC_R1_paired	0.46	Root; d__Bacteria; p__Gemmatimonadota
12_25_DAC_R1_paired	1.42	Root; d__Bacteria; p__Nitrospirota
12_25_DAC_R1_paired	4.14	Root; d__Bacteria; p__Patescibacteriota
12_25_DAC_R1_paired	1.7	Root; d__Bacteria; p__Bacteroidota_A
12_25_DAC_R1_paired	0.73	Root; d__Bacteria; p__Bdellovibrionota_B
12_25_DAC_R1_paired	1.15	Root; d__Bacteria; p__Bdellovibrionota
12_25_DAC_R1_paired	0.37	Root; d__Bacteria; p__Cyanobacteriota
12_25_DAC_R1_paired	1.49	Root; d__Bacteria; p__Spirochaetota
12_25_DAC_R1_paired	0.43	Root; d__Bacteria; p__Omnitrophota
12_25_DAC_R1_paired	0.28	Root; d__Bacteria; p__Elusimicrobiota
12_25_DAC_R1_paired	0.18	Root; d__Bacteria; p__Nitrospinota
12_25_DAC_R1_paired	0.7	Root; d__Bacteria; p__Zhuqueibacterota
12_25_DAC_R1_paired	0.12	Root; d__Bacteria; p__Campylobacterota
12_25_DAC_R1_paired	0.44	Root; d__Bacteria; p__Electryoneota
12_25_DAC_R1_paired	0.51	Root; d__Bacteria; p__Marinisomatota
12_25_DAC_R1_paired	0.5	Root; d__Bacteria; p__Fermentibacterota
12_25_DAC_R1_paired	0.64	Root; d__Bacteria; p__Vulcanimicrobiota
12_25_DAC_R1_paired	0.4	Root; d__Bacteria; p__Bdellovibrionota_G
12_25_DAC_R1_paired	0.7	Root; d__Bacteria; p__Latescibacterota
12_25_DAC_R1_paired	0.35	Root; d__Bacteria; p__WOR-3
12_25_DAC_R1_paired	0.7	Root; d__Bacteria; p__Fibrobacterota
12_25_DAC_R1_paired	0.5	Root; d__Bacteria; p__CSSED10-310
12_25_DAC_R1_paired	0.31	Root; d__Bacteria; p__Margulisbacteria
12_25_DAC_R1_paired	0.37	Root; d__Bacteria; p__Muiribacteriota
12_25_DAC_R1_paired	0.18	Root; d__Bacteria; p__Synergistota
12_25_DAC_R1_paired	1.07	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
12_25_DAC_R1_paired	0.23	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
12_25_DAC_R1_paired	0.5	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei
12_25_DAC_R1_paired	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
12_25_DAC_R1_paired	2.5	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
12_25_DAC_R1_paired	0.27	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia
12_25_DAC_R1_paired	0.37	Root; d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia
12_25_DAC_R1_paired	0.18	Root; d__Archaea; p__Thermoplasmatota; c__DTKX01
12_25_DAC_R1_paired	0.17	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6
12_25_DAC_R1_paired	2.15	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
12_25_DAC_R1_paired	0.27	Root; d__Archaea; p__Thermoplasmatota; c__E2
12_25_DAC_R1_paired	1.5	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
12_25_DAC_R1_paired	0.2	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
12_25_DAC_R1_paired	0.11	Root; d__Archaea; p__Halobacteriota; c__Halobacteria
12_25_DAC_R1_paired	0.31	Root; d__Archaea; p__Altiarchaeota; c__Altiarchaeia
12_25_DAC_R1_paired	1.04	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
12_25_DAC_R1_paired	2.82	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
12_25_DAC_R1_paired	4.37	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
12_25_DAC_R1_paired	2.7	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
12_25_DAC_R1_paired	2.16	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
12_25_DAC_R1_paired	0.52	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
12_25_DAC_R1_paired	0.49	Root; d__Bacteria; p__Actinomycetota; c__Geothermincolia
12_25_DAC_R1_paired	0.59	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
12_25_DAC_R1_paired	54.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
12_25_DAC_R1_paired	17.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
12_25_DAC_R1_paired	1.86	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
12_25_DAC_R1_paired	0.88	Root; d__Bacteria; p__Planctomycetota; c__UBA1135
12_25_DAC_R1_paired	1.34	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
12_25_DAC_R1_paired	0.47	Root; d__Bacteria; p__Planctomycetota; c__JAJSAM01
12_25_DAC_R1_paired	0.26	Root; d__Bacteria; p__Planctomycetota; c__J058
12_25_DAC_R1_paired	0.55	Root; d__Bacteria; p__Planctomycetota; c__PUPC01
12_25_DAC_R1_paired	0.6	Root; d__Bacteria; p__Planctomycetota; c__UBA8108
12_25_DAC_R1_paired	0.31	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
12_25_DAC_R1_paired	0.69	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
12_25_DAC_R1_paired	0.47	Root; d__Bacteria; p__Planctomycetota; c__Brocadiia
12_25_DAC_R1_paired	10.16	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
12_25_DAC_R1_paired	5.12	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
12_25_DAC_R1_paired	0.56	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
12_25_DAC_R1_paired	0.7	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
12_25_DAC_R1_paired	0.5	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
12_25_DAC_R1_paired	0.67	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
12_25_DAC_R1_paired	0.21	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
12_25_DAC_R1_paired	0.41	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
12_25_DAC_R1_paired	0.05	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
12_25_DAC_R1_paired	0.2	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
12_25_DAC_R1_paired	0.41	Root; d__Bacteria; p__Desulfobacterota; c__BSN033
12_25_DAC_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
12_25_DAC_R1_paired	4.97	Root; d__Bacteria; p__Bacillota; c__Clostridia
12_25_DAC_R1_paired	6.44	Root; d__Bacteria; p__Bacillota; c__Bacilli
12_25_DAC_R1_paired	0.65	Root; d__Bacteria; p__Bacillota; c__Negativicutes
12_25_DAC_R1_paired	0.62	Root; d__Bacteria; p__Bacillota; c__Limnochordia
