sample	coverage	taxonomy
25_12_LLN_R1_paired	19.7	Root; d__Archaea
25_12_LLN_R1_paired	37.49	Root; d__Bacteria
25_12_LLN_R1_paired	5.94	Root; d__Archaea; p__Thermoproteota
25_12_LLN_R1_paired	1.17	Root; d__Archaea; p__Asgardarchaeota
25_12_LLN_R1_paired	5.39	Root; d__Archaea; p__Thermoplasmatota
25_12_LLN_R1_paired	0.75	Root; d__Archaea; p__Halobacteriota
25_12_LLN_R1_paired	0.32	Root; d__Archaea; p__Methanobacteriota
25_12_LLN_R1_paired	2.37	Root; d__Bacteria; p__Pseudomonadota
25_12_LLN_R1_paired	6.69	Root; d__Bacteria; p__Patescibacteriota
25_12_LLN_R1_paired	4.46	Root; d__Bacteria; p__Acidobacteriota
25_12_LLN_R1_paired	9.48	Root; d__Bacteria; p__Actinomycetota
25_12_LLN_R1_paired	2.32	Root; d__Bacteria; p__Chloroflexota
25_12_LLN_R1_paired	0.4	Root; d__Bacteria; p__Omnitrophota
25_12_LLN_R1_paired	2.88	Root; d__Bacteria; p__Spirochaetota
25_12_LLN_R1_paired	1.48	Root; d__Bacteria; p__Nitrospirota
25_12_LLN_R1_paired	4.27	Root; d__Bacteria; p__Myxococcota
25_12_LLN_R1_paired	4.97	Root; d__Bacteria; p__Planctomycetota
25_12_LLN_R1_paired	1.85	Root; d__Bacteria; p__Bdellovibrionota
25_12_LLN_R1_paired	10.35	Root; d__Bacteria; p__Desulfobacterota
25_12_LLN_R1_paired	0.65	Root; d__Bacteria; p__Marinisomatota
25_12_LLN_R1_paired	0.16	Root; d__Bacteria; p__Bdellovibrionota_B
25_12_LLN_R1_paired	0.79	Root; d__Bacteria; p__Zhuqueibacterota
25_12_LLN_R1_paired	0.15	Root; d__Bacteria; p__Gemmatimonadota
25_12_LLN_R1_paired	2.39	Root; d__Bacteria; p__Bacteroidota_A
25_12_LLN_R1_paired	7.04	Root; d__Bacteria; p__Bacillota
25_12_LLN_R1_paired	0.01	Root; d__Bacteria; p__Cyanobacteriota
25_12_LLN_R1_paired	0.28	Root; d__Bacteria; p__Fermentibacterota
25_12_LLN_R1_paired	0.38	Root; d__Bacteria; p__Elusimicrobiota
25_12_LLN_R1_paired	0.23	Root; d__Bacteria; p__WOR-3
25_12_LLN_R1_paired	0.17	Root; d__Bacteria; p__Campylobacterota
25_12_LLN_R1_paired	2.58	Root; d__Bacteria; p__Armatimonadota
25_12_LLN_R1_paired	0.52	Root; d__Bacteria; p__Nitrospinota
25_12_LLN_R1_paired	0.45	Root; d__Bacteria; p__Bdellovibrionota_G
25_12_LLN_R1_paired	1.15	Root; d__Bacteria; p__Electryoneota
25_12_LLN_R1_paired	0.76	Root; d__Bacteria; p__Vulcanimicrobiota
25_12_LLN_R1_paired	0.73	Root; d__Bacteria; p__CSSED10-310
