sample	coverage	taxonomy
01_26_FSB_R1_paired	11.88	Root; d__Archaea
01_26_FSB_R1_paired	40.1	Root; d__Bacteria
01_26_FSB_R1_paired	2.94	Root; d__Archaea; p__Thermoproteota
01_26_FSB_R1_paired	0.57	Root; d__Archaea; p__Halobacteriota
01_26_FSB_R1_paired	2.79	Root; d__Archaea; p__Thermoplasmatota
01_26_FSB_R1_paired	1.84	Root; d__Archaea; p__Asgardarchaeota
01_26_FSB_R1_paired	0.88	Root; d__Bacteria; p__Pseudomonadota
01_26_FSB_R1_paired	2.26	Root; d__Bacteria; p__Myxococcota
01_26_FSB_R1_paired	0.67	Root; d__Bacteria; p__Verrucomicrobiota
01_26_FSB_R1_paired	0.39	Root; d__Bacteria; p__Chloroflexota
01_26_FSB_R1_paired	4.16	Root; d__Bacteria; p__Actinomycetota
01_26_FSB_R1_paired	0.62	Root; d__Bacteria; p__Cyanobacteriota
01_26_FSB_R1_paired	5.75	Root; d__Bacteria; p__Desulfobacterota
01_26_FSB_R1_paired	6.18	Root; d__Bacteria; p__Planctomycetota
01_26_FSB_R1_paired	1.88	Root; d__Bacteria; p__Bacteroidota_A
01_26_FSB_R1_paired	4.93	Root; d__Bacteria; p__Acidobacteriota
01_26_FSB_R1_paired	1.25	Root; d__Bacteria; p__Spirochaetota
01_26_FSB_R1_paired	4.01	Root; d__Bacteria; p__Patescibacteriota
01_26_FSB_R1_paired	4.55	Root; d__Bacteria; p__Bacillota
01_26_FSB_R1_paired	0.22	Root; d__Bacteria; p__Omnitrophota
01_26_FSB_R1_paired	0.97	Root; d__Bacteria; p__Marinisomatota
01_26_FSB_R1_paired	0.11	Root; d__Bacteria; p__Fibrobacterota
01_26_FSB_R1_paired	1.7	Root; d__Bacteria; p__Bdellovibrionota
01_26_FSB_R1_paired	0.64	Root; d__Bacteria; p__Armatimonadota
01_26_FSB_R1_paired	1.08	Root; d__Bacteria; p__Bdellovibrionota_B
01_26_FSB_R1_paired	0.23	Root; d__Bacteria; p__Gemmatimonadota
01_26_FSB_R1_paired	0.89	Root; d__Bacteria; p__Zhuqueibacterota
01_26_FSB_R1_paired	0.31	Root; d__Bacteria; p__Campylobacterota
01_26_FSB_R1_paired	0.74	Root; d__Bacteria; p__Nitrospirota
01_26_FSB_R1_paired	0.34	Root; d__Bacteria; p__Elusimicrobiota
01_26_FSB_R1_paired	0.4	Root; d__Bacteria; p__Electryoneota
01_26_FSB_R1_paired	0.32	Root; d__Bacteria; p__Nitrospinota
01_26_FSB_R1_paired	0.06	Root; d__Bacteria; p__Bdellovibrionota_G
01_26_FSB_R1_paired	0.62	Root; d__Bacteria; p__Latescibacterota
01_26_FSB_R1_paired	0.24	Root; d__Bacteria; p__CSSED10-310
01_26_FSB_R1_paired	0.11	Root; d__Bacteria; p__Vulcanimicrobiota
01_26_FSB_R1_paired	0.34	Root; d__Bacteria; p__CG03
01_26_FSB_R1_paired	0.5	Root; d__Bacteria; p__WOR-3
01_26_FSB_R1_paired	0.4	Root; d__Bacteria; p__Muiribacteriota
01_26_FSB_R1_paired	2.91	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
01_26_FSB_R1_paired	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
